客户编号,协议编号,产品编号,产品名称,用途代码,贷款用途,贷款金额,贷款币种,剩余本金,贷款利率,贷款期限,期限单位,担保方式,生效日期,到期日期,还款卡号,贷款机构,贷款状态
220116964994,220139593239,201,个人住房按揭贷款,20101,购买新建住房,1849000.00,156,1849000.00,12.0,12,1,3,2018-04-30,2019-04-30,6227527395723865,22016487,0
180716440397,180785670956,103,个人汽车消费贷款,10302,购买运营车(乘客运输-出租车）,204000.00,156,204000.00,10.8,12,1,2,2018-01-27,2019-01-27,4910315892262778,18079665,0
070547043236,070577007374,102,个人消费贷款,10201,购买家用电器,49000.00,156,49000.00,10.8,6,1,1,2018-05-03,2018-11-03,3568338304855432,07058485,0
220116964994,220176258010,601,互联网自营贷款,60101,个人消费,13000.00,156,13000.00,12.0,24,1,2,2018-04-28,2020-04-28,6227527395723865,22016132,0
130976126023,130983431006,401,存单质押贷款,40101,个人消费,231000.00,156,231000.00,8.4,3,1,3,2018-07-09,2018-10-09,622305163744381681,13099050,0
040943356020,040932839370,502,信用卡专项分期,50201,个人消费,63000.00,156,63000.00,10.8,18,1,1,2018-01-07,2019-07-07,370249710373338,04095580,0
240885815315,240810886171,402,理财质押贷款,40202,个人经营,280000.00,156,280000.00,8.4,18,1,1,2018-04-17,2019-10-17,6011394053536992,24087515,0
060910245235,060900193239,201,个人住房按揭贷款,20101,购买新建住房,2363000.00,156,2363000.00,12.0,12,1,0,2018-03-17,2019-03-17,4096716017799519,06095806,0
271012275416,271000589102,303,自用车抵押贷款,30399,其他,51000.00,156,51000.00,12.0,6,1,1,2018-05-09,2018-11-09,6225493390645524,27106135,0
290205407569,290233371456,501,信用卡现金分期,50199,其他,17000.00,156,17000.00,10.8,6,1,1,2018-05-10,2018-11-10,9400605248765946,29029527,0
210727876754,210758286976,202,个人二手房按揭贷款,20201,购买二手住房,1788000.00,156,1788000.00,7.2,3,1,0,2018-03-03,2018-06-03,6250339207609757,21072109,0
250858766372,250804825245,103,个人汽车消费贷款,10304,购买运营车(货物运输）,297000.00,156,297000.00,12.0,6,1,2,2018-01-22,2018-07-22,6214693362571132437,25085767,0
040341903523,040314660045,401,存单质押贷款,40101,个人消费,234000.00,156,234000.00,10.8,6,1,2,2018-05-05,2018-11-05,6251047079231860,04038396,0
251555846424,251533251213,401,存单质押贷款,40199,其他,816000.00,156,816000.00,7.2,6,1,1,2018-02-07,2018-08-07,6200824888747266,25158082,0
200411242919,200417440082,203,个人转按揭贷款,20301,他行转按揭,3235000.00,156,3235000.00,10.8,24,1,3,2018-02-22,2020-02-22,6216717846051503130,20044329,0
180985862951,180922887334,502,信用卡专项分期,50201,个人消费,34000.00,156,34000.00,7.2,3,1,3,2018-06-13,2018-09-13,6221286969187066,18093826,0
110260177622,110206431171,401,存单质押贷款,40101,个人消费,109000.00,156,109000.00,7.2,24,1,0,2018-01-21,2020-01-21,6259987208616592,11021223,0
160473486890,160413995463,102,个人消费贷款,10206,国内旅游,38000.00,156,38000.00,12.0,18,1,0,2018-01-29,2019-07-29,4563513729021855140,16042995,0
080894307816,080813930886,602,互联网合作贷款,60201,个人消费,49000.00,156,49000.00,7.2,18,1,3,2018-04-09,2019-10-09,6222290184235733,08082890,0
120639078431,120692021218,502,信用卡专项分期,50201,个人消费,52000.00,156,52000.00,9.6,3,1,1,2018-03-27,2018-06-27,6282758128120069,12066101,0
111580750761,111504961725,501,信用卡现金分期,50199,其他,46000.00,156,46000.00,7.2,24,1,3,2018-01-02,2020-01-02,6212971902064404624,11156940,0
410004673971,410043330694,403,保单质押贷款,40302,个人经营,774000.00,156,774000.00,7.2,18,1,2,2018-04-25,2019-10-25,6251310896415011,41003949,0
261008116445,261087765958,203,个人转按揭贷款,20301,他行转按揭,1911000.00,156,1911000.00,9.6,12,1,3,2018-04-13,2019-04-13,6224710798065612,26101120,0
180985862951,180937418435,103,个人汽车消费贷款,10302,购买运营车(乘客运输-出租车）,259000.00,156,259000.00,9.6,3,1,0,2018-02-16,2018-05-16,6221286969187066,18093645,0
131785929368,131770998358,203,个人转按揭贷款,20301,他行转按揭,4067000.00,156,4067000.00,7.2,3,1,3,2018-01-03,2018-04-03,6229335089455610632,13170042,0
060910245235,060972698633,601,互联网自营贷款,60101,个人消费,19000.00,156,19000.00,7.2,18,1,2,2018-04-07,2019-10-07,4096716017799519,06093268,0
271462081940,271479596712,103,个人汽车消费贷款,10301,购买自用车,201000.00,156,201000.00,8.4,6,1,2,2018-05-06,2018-11-06,62241084371071724,27142356,0
400093884386,400052040800,203,个人转按揭贷款,20301,他行转按揭,4057000.00,156,4057000.00,9.6,3,1,0,2018-01-21,2018-04-21,6202072432316075,40001975,0
250804351709,250836155270,301,居住型房屋抵押贷款,30101,个人消费,918000.00,156,918000.00,9.6,12,1,2,2018-06-09,2019-06-09,6259761192486860,25083738,0
151147066600,151173971176,403,保单质押贷款,40399,其他,684000.00,156,684000.00,7.2,18,1,0,2018-01-15,2019-07-15,5123154263690519,15113316,0
060910245235,060945063680,302,经营型房屋抵押贷款,30201,购买原材料,1411000.00,156,1411000.00,10.8,12,1,2,2018-05-13,2019-05-13,4096716017799519,06099070,0
161082893633,161026779603,402,理财质押贷款,40201,个人消费,920000.00,156,920000.00,8.4,24,1,2,2018-01-15,2020-01-15,622015673519060634,16106489,0
070812095631,070866907361,403,保单质押贷款,40301,个人消费,440000.00,156,440000.00,7.2,18,1,1,2018-05-01,2019-11-01,6223698031537680,07080118,0
060910245235,060937642747,102,个人消费贷款,10205,出国医疗,31000.00,156,31000.00,12.0,18,1,3,2018-06-03,2019-12-03,4096716017799519,06096505,0
271462081940,271467053373,302,经营型房屋抵押贷款,30202,扩大再生产,984000.00,156,984000.00,8.4,3,1,2,2018-05-22,2018-08-22,62241084371071724,27147649,0
150210695478,150216277816,401,存单质押贷款,40101,个人消费,141000.00,156,141000.00,10.8,12,1,1,2018-01-01,2019-01-01,6226700361566599,15022968,0
070636844264,070645470647,201,个人住房按揭贷款,20101,购买新建住房,1893000.00,156,1893000.00,10.8,3,1,3,2018-01-28,2018-04-28,622502415288409885,07067077,0
